"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"Edit Your Cart","Редагувати Ваш кошик"
"Email Address","Email адреса"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","Ввести нову адресу"
"Enter your coupon code if you have one.","Якщо Ви маєте сертифікат на знижку, введіть його код."
"Enter your destination to get a shipping estimate.","Вкажіть місце доставки для отримання розрахунку."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Попередня оцінка вартості доставки та суми податку"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Швидке та легке офрмлення замовлення"
"Fax","Факс"
"Forgot an Item?","Забули товар?"
"Forgot your password?","Забули пароль?"
"Get a Quote","Отримати загальну вартість"
"Grand Total:","Загальна вартість:"
"Grouped product image","Зображення групового товару"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Невірні дані"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Невірний метод доставки."
"Items","Товарів"
"Load customer quote error","Помилка при завантажені загальної вартості замовлення клієнта"
"Loading next step...","Завантаження наступного кроку..."
"Login","Вхід в систему"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальна кількість дозволена для доставки по кільком адресам становить %s"
"Move to Wishlist","Додати до списку бажань"
"My Account","Мій обліковий запис"
"My Cart","My Cart"
"My Cart (%s item)","Мій кошик (%s шт.)"
"My Cart (%s items)","Мій кошик (%s шт.)"
"My Cart Link","Лінк на мій кошик"
"New Address","Нова адреса"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Перегляд замовлення"
"Order Success","Замовлення успішно подано"
"Other items in your order","Other items in your order"
"Password","Пароль"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Інформація по оплаті"
"Payment Method","Спосіб оплати"
"Payment method is not defined","Спосіб оплати не визначений"
"Place Order","Оформити замовлення"
"Please <a href=""%s"">continue shopping</a>.","Будь-ласка, <a href=""%s"">поверніться до магазину</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Будь-ласка, введіть вірний пошовий код. Наприклад 90602 або 90602-1234."
"Please log in below:","Будь-ласка, авторизуйтесь в системі нижче:"
"Please select region, state or province","Будь-ласка, виберіть регіон/область"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Будь-ласка, виберіть методи доставки для всіх адрес"
"Price","Ціна"
"Proceed to Checkout","Оформити замовлення"
"Product","Товар"
"Product Name","Назва товару"
"Product does not exist","Товару не існує"
"Qty","Кількість"
"Quote Lifetime (days)","Термін зберігання товару в кошику (днів)"
"Recently added item(s)","Нещодавно доданий товар"
"Register","Зареєструватись"
"Register and save time!","Зареєструйтесь і зекономте час!"
"Register to Create an Account","Зареєструтесь для створення облікового запису"
"Register with us for future convenience:","Зареструйтесь зараз, щоб полегшити користування системою:"
"Remove","Видалити"
"Remove Item","Видалити товар"
"Remove Product","Видалити товар"
"Remove item","Remove item"
"Review Order","Перегляд замовлення"
"Review Order - %s","Перегляд замовлення - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Зберегти в адресній книзі"
"Select Address","Виберіть адресу"
"Select Addresses","Виберіть адреси"
"Select Shipping Method","Виберіть метод поставк "
"Select State/Province...","Виберіть регіон/область..."
"Select a billing address from your address book or enter a new address.","Виберіть адресу для оплати з Вашої адресної книжки або введіть нову."
"Select a shipping address from your address book or enter a new address.","Виберіть адресу для доставки з Вашої адресної книжки або введіть нову."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Надіслати"
"Ship to Multiple Addresses","Доставка кільком адресам"
"Ship to different address","Доставка по різним адресам"
"Ship to this address","Доставка до вказаної адреси"
"Shipping Address","Адреса доставки"
"Shipping Information","Інформація по доставці"
"Shipping Method","Метод доставки"
"Shipping Methods","Методи доставки"
"Shipping method has not been selected yet","Метод доставки ще не вибраний"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Доставка до"
"Shopping Cart","Кошик"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Кошик пустий"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Деякі продукти, що Ви замовили, на даний момент недоступні у необхідній кількості"
"Some of the products you requested are unavailable","Деякі продукти, що Ви замовили,на даний момент недоступні"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Регіон/Область"
"Status","Status"
"Store View","Store View"
"Street Address","Адреса: Вулиця"
"Street Address ","Street Address "
"Submitting order information...","інформації про оформлення замовлення..."
"Subtotal","Всього"
"Telephone","Телефон"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Дякуємо за покупку!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","У Вашому кошику <a href=""%s""><strong>%s товарів</strong></a> ."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","У Вашому кошику <a href=""%s""><strong>1 товар</strong></a>."
"There is already a customer registered using this email address","В системі вже існує зареєстрований клієнт з даною email адресою"
"There was an error processing your order. Please contact us or try again later.","Відбулась помилка при обробці Вашого замовлення. Будь-ласка, зконтактуйтесь з нами або спробуйте пізніше ще раз."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Загальна сума замовлення для даної абреси"
"Unit Price","Ціна одиниці товару"
"Update Qty &amp; Addresses","Оновити кількість &amp; адрес"
"Update Shopping Cart","Перерахувати"
"Update Total","Оновити загальну суму замовлення"
"Use Billing Address","Використати адресу оплати"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Ми обробляємо Ваше замовлення і невдовзі Ви отримаєте email з деталями замовлення. Після відправки замовлення Ви отримаєте ще один email з посиланням для відслідковування його шляху."
"You have no items in your shopping cart.","Ваш кошик порожній."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ви отримаєте email для підтвердження замовлення зі всією детальнішою інформацією та посиланням для відслідковування його шляху."
"Your Checkout Progress","Стадія оформлення замовлення"
"Your order # is: %s","Номер Вашого замовлення: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Ваше замовлення було прийнято"
"Your order number is ","Your order number is "
"Zip/Postal Code","Поштовий код"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Мій кошик"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
